ID,District,ToiletCoverage,OpenDefecation,Literacy,IncomeIndex,UrbanRatio,IMR,ADDCases
556,Coimbatore,90,6,88,63,99,8.3,295
557,Krishnagiri,87,0,81,72,20,9.92,314
558,Thanjavur,93,0,68,51,85,8.4,189
559,Cuddalore,92,0,84,42,21,9.54,292
560,Theni,70,24,81,64,60,9.46,301
561,Ranipet,100,0,75,92,74,3.81,225
562,Tiruchirappalli,93,0,89,45,16,5.14,321
563,Viluppuram,85,4,92,86,94,9.92,237
564,Kanniyakumari,71,14,98,73,55,11.9,374
565,Kancheepuram,93,0,93,55,45,8.75,248
566,Cuddalore,88,0,67,40,89,7.49,274
567,Kancheepuram,99,0,76,72,56,7.41,144
568,Salem,99,0,97,50,22,5.35,176
569,Sivaganga,84,10,65,90,68,9.3,347
570,Vellore,89,4,98,81,29,9.48,270
571,Dindigul,73,16,94,48,64,12.07,326
572,Theni,96,0,72,85,47,6.45,270
573,Ariyalur,99,0,70,95,100,5.92,226
574,Tiruvallur,72,17,77,54,52,11.12,295
575,Vellore,78,22,68,87,100,10.86,373
576,Pudukkottai,72,22,89,95,60,10.73,344
577,Tirunelveli,88,10,79,78,65,10.19,218
578,Mayiladuthurai,84,5,69,98,62,10.26,282
579,Tiruchirappalli,92,1,90,42,73,7.71,185
580,Erode,88,4,67,86,55,11.27,237
581,Krishnagiri,78,10,66,49,62,11.51,323
582,Tirupathur,81,12,95,65,36,7.13,369
583,Perambalur,92,0,91,44,72,3.94,249
584,Thanjavur,84,13,93,69,19,9.86,318
585,Madurai,96,3,96,71,29,4.2,252
586,Dindigul,88,4,86,82,73,8.18,210
587,Cuddalore,88,7,88,66,48,9.1,337
588,Kanniyakumari,95,0,92,92,55,7.4,193
589,Tirupathur,73,21,85,44,81,10.29,369
590,Kallakurichi,85,4,95,76,51,5.79,364
591,Tiruvannamalai,100,0,71,75,42,3.22,152
592,Nilgiris,85,12,94,89,69,8.49,365
593,Tiruchirappalli,72,25,86,51,89,10.66,325
594,Tiruppur,87,13,91,87,27,10.71,285
595,Karur,77,14,84,55,27,11.43,265
596,Salem,95,4,96,81,84,6.7,222
597,Vellore,78,7,71,73,17,8.07,280
598,Nilgiris,80,17,84,95,100,8.52,297
599,Vellore,90,2,70,75,99,5.61,326
600,Thanjavur,79,20,97,94,95,10.84,321
601,Kanniyakumari,82,17,89,61,70,9.38,263
602,Namakkal,100,0,88,75,92,2.97,221
603,Cuddalore,95,1,70,87,39,9.25,223
604,Ramanathapuram,91,2,98,64,24,6.01,261
605,Coimbatore,99,0,83,65,20,5.83,196
606,Kanniyakumari,99,0,96,68,49,4.38,191
607,Viluppuram,73,22,77,51,75,9.99,308
608,Krishnagiri,97,0,95,59,43,4.62,160
609,Kanniyakumari,100,0,97,72,52,2.32,120
610,Ramanathapuram,96,0,80,79,97,8.29,292
611,Salem,100,0,92,100,99,4.53,134
612,Pudukkottai,72,22,90,99,70,8.58,354
613,Tiruvarur,92,3,95,69,55,6.57,199
614,Kanniyakumari,76,23,66,85,60,8.14,302
615,Karur,87,0,72,98,62,10.3,335
616,Sivaganga,76,21,87,52,85,12.58,417
617,Chennai,90,9,70,90,56,5.17,235
618,Thanjavur,86,2,81,53,22,10.53,357
619,Tiruchirappalli,85,3,86,57,19,10.34,343
620,Tenkasi,76,9,71,62,17,12.01,390
621,Namakkal,77,17,72,56,21,7.65,372
622,Tenkasi,70,21,81,75,46,9.58,308
623,Thanjavur,99,0,67,61,100,4.32,139
624,Tirupathur,78,9,95,88,57,8.41,340
625,Tiruchirappalli,97,0,88,95,61,5.47,280
626,Namakkal,76,16,81,80,22,8.05,398
627,Chengalpattu,94,2,98,100,74,7.11,230
628,Kancheepuram,72,16,95,69,27,8.72,435
629,Sivaganga,92,0,74,50,23,9.89,265
630,Chennai,75,23,75,85,64,11.43,326
631,Sivaganga,80,17,86,53,86,7.17,301
632,Karur,93,0,77,60,53,6.97,320
633,Nagapattinam,72,14,68,51,66,10.78,346
634,Tiruppur,79,6,80,50,40,7.79,363
635,Madurai,79,6,71,76,41,7.24,266
636,Tiruvarur,81,16,98,44,47,11.33,298
637,Kallakurichi,88,3,82,87,47,5.3,203
638,Chengalpattu,81,19,69,84,76,6.75,238
639,Virudhunagar,77,10,82,86,28,11.89,365
640,Tiruvallur,99,0,80,68,32,5.68,286
641,Namakkal,88,2,89,51,39,8.98,196
642,Pudukkottai,100,0,72,69,39,8.03,235
643,Chennai,81,11,89,48,82,10.85,362
644,Ramanathapuram,98,0,74,82,29,6.2,227
645,Thanjavur,80,19,89,47,67,7.78,376
646,Tirunelveli,85,12,89,62,68,9.1,325
647,Ramanathapuram,90,8,86,92,58,10.35,229
648,Karur,89,0,97,40,100,5.33,334
649,Karur,87,6,87,60,52,9.68,327
650,Tirunelveli,100,0,94,51,80,8.06,161
651,Virudhunagar,93,0,65,97,54,10.1,229
652,Mayiladuthurai,79,16,85,40,34,7.5,399
653,Nagapattinam,86,4,97,98,31,10.3,229
654,Ranipet,89,11,93,73,77,10.25,228
655,Tiruvallur,90,0,95,77,50,9.68,291
656,Tirupathur,76,24,90,52,58,11.5,330
657,Pudukkottai,94,0,83,79,38,5.09,225
658,Mayiladuthurai,93,3,80,47,70,5.73,308
659,Kallakurichi,83,3,67,50,83,9.64,222
660,Karur,89,3,89,54,97,6.41,254
661,Kallakurichi,83,9,79,53,81,6.74,232
662,Thoothukudi,78,14,86,63,76,7.18,345
663,Theni,72,28,91,79,45,9.39,439
664,Tiruvallur,76,15,68,73,76,10.26,284
665,Nilgiris,92,8,81,84,53,9.19,319
666,Madurai,80,12,85,94,44,7.02,262
667,Kancheepuram,85,13,98,43,29,5.12,353
668,Thoothukudi,96,0,81,50,19,4.45,204
669,Pudukkottai,72,22,97,83,17,9.9,438
670,Pudukkottai,71,20,90,52,58,9.26,367
671,Tirupathur,83,16,70,61,79,8.9,343
672,Tiruvallur,91,9,82,58,75,10.02,319
673,Cuddalore,76,12,83,81,81,7.84,406
674,Chengalpattu,77,20,65,99,17,9.65,394
675,Tenkasi,75,23,68,40,99,10.17,419
676,Pudukkottai,77,18,83,66,92,8.04,260
677,Pudukkottai,82,4,71,49,79,8.29,317
678,Kanniyakumari,94,0,83,76,16,3.93,216
679,Tiruchirappalli,84,7,68,51,18,7.78,296
680,Pudukkottai,74,17,87,56,44,13.53,342
681,Salem,82,15,94,77,50,7.41,274
682,Cuddalore,94,1,86,82,86,5.08,312
683,Krishnagiri,73,25,71,58,29,10.51,329
684,Tirunelveli,97,0,76,95,76,5.46,255
685,Krishnagiri,75,22,98,99,87,10.36,290
686,Erode,90,6,80,55,87,6.1,192
687,Chennai,82,12,76,83,35,11.57,258
688,Viluppuram,91,0,69,98,95,8.49,293
689,Tirupathur,95,0,83,78,61,7.71,163
690,Tirunelveli,76,14,69,54,50,11.93,295
691,Dindigul,84,8,75,95,19,8.3,334
692,Erode,89,5,95,52,66,6.48,252
693,Ramanathapuram,76,14,78,96,56,10.65,273
694,Tirunelveli,100,0,93,97,86,7.46,162
695,Thoothukudi,80,11,84,83,67,11.19,265
696,Tiruchirappalli,86,13,96,62,88,9.29,337
697,Thoothukudi,99,1,67,70,62,6.33,149
698,Viluppuram,78,11,68,100,84,10.57,313
699,Tiruvallur,73,26,95,53,56,10.35,290
700,Thanjavur,86,13,80,42,18,9.62,296
701,Namakkal,82,10,80,74,95,6.22,384
702,Krishnagiri,97,0,78,98,76,5.68,252
703,Tiruvarur,92,0,85,44,62,7.46,232
704,Viluppuram,93,3,93,92,46,7.46,318
705,Salem,76,10,71,77,40,9.75,412
706,Dharmapuri,79,21,86,46,89,10.05,397
707,Sivaganga,88,9,71,77,78,6.29,216
708,Cuddalore,98,0,95,91,29,2.63,287
709,Dharmapuri,88,0,70,82,24,9.91,288
710,Viluppuram,91,9,72,48,26,7.83,179
711,Dharmapuri,85,7,84,65,16,8.53,265
712,Thoothukudi,82,12,85,99,15,6.93,327
713,Kallakurichi,96,0,79,72,39,4.1,151
714,Theni,85,11,83,62,16,7.18,228
715,Dharmapuri,93,0,80,65,47,4.42,285
716,Cuddalore,89,0,93,60,48,8.91,248
717,Kallakurichi,98,0,81,84,66,7.16,198
718,Tenkasi,98,1,94,94,29,6.79,175
719,Ramanathapuram,82,4,75,82,95,9.51,299
720,Nilgiris,87,9,76,68,37,5.94,253
721,Thoothukudi,87,0,92,97,26,7.59,327
722,Dharmapuri,85,5,95,48,52,6.68,361
723,Salem,89,11,82,97,70,6.11,211
724,Perambalur,79,20,87,43,70,11.57,362
725,Ramanathapuram,75,13,69,54,72,8.96,309
726,Ramanathapuram,80,8,80,45,69,8.37,324
727,Nagapattinam,99,0,65,61,94,4.98,270
728,Pudukkottai,92,0,86,98,36,4.83,219
729,Kancheepuram,91,0,77,60,62,6.33,239
730,Tiruchirappalli,85,13,73,61,97,11.28,349
731,Dindigul,91,6,86,86,66,7.38,323
732,Pudukkottai,90,5,76,72,25,9.12,199
733,Madurai,82,7,84,60,20,7.4,251
734,Ariyalur,70,15,69,76,19,12.39,355
735,Namakkal,86,9,95,77,64,8.53,291
736,Tenkasi,86,14,93,68,92,8.97,223
737,Coimbatore,84,4,78,90,70,9.8,373
738,Sivaganga,72,25,90,41,49,12.5,446
739,Chennai,91,3,87,98,64,5.05,300
740,Tenkasi,83,9,95,40,51,7.77,344
741,Dindigul,76,20,71,61,32,12.31,267
742,Karur,93,0,95,82,91,5.89,202
743,Chennai,97,0,91,97,69,2.98,250
744,Ranipet,80,6,90,72,24,11.91,260
745,Thoothukudi,86,2,86,64,59,11.02,226
746,Nilgiris,70,24,84,81,67,12.18,395
747,Chengalpattu,74,19,75,67,89,9.7,365
748,Ranipet,97,0,92,79,42,8.55,169
749,Tiruvannamalai,87,5,72,75,47,10.0,209
750,Erode,88,0,84,86,48,8.13,331
751,Dharmapuri,96,1,82,82,26,3.78,215
752,Kancheepuram,96,0,66,43,65,6.75,198
753,Ramanathapuram,100,0,98,56,43,5.6,154
754,Karur,70,30,68,99,41,13.24,437
755,Mayiladuthurai,85,0,81,54,37,10.05,315
756,Cuddalore,76,13,89,62,98,11.16,377
757,Nagapattinam,76,13,67,44,79,8.33,332
758,Chennai,86,10,90,44,56,5.75,208
759,Pudukkottai,73,12,90,90,22,9.62,372
760,Kallakurichi,90,8,95,42,25,6.83,197
761,Tenkasi,78,16,80,77,52,10.19,378
762,Ranipet,95,0,77,71,43,8.34,256
763,Kancheepuram,92,8,95,45,20,6.27,321
764,Viluppuram,88,3,69,51,89,7.97,215
765,Tiruvallur,80,11,71,69,19,10.92,389
766,Theni,92,0,75,52,88,5.71,292
767,Tiruvannamalai,79,21,94,95,88,7.12,353
768,Tenkasi,99,0,97,58,77,4.44,210
769,Ranipet,86,12,75,67,30,9.11,334
770,Salem,96,0,80,72,45,8.16,226
771,Pudukkottai,72,27,97,88,88,10.17,415
772,Tiruppur,89,9,81,76,79,10.5,228
773,Dindigul,97,0,81,71,54,8.91,225
774,Tiruvallur,72,26,67,94,39,13.76,385
775,Tenkasi,97,0,80,86,33,8.53,297
776,Kanniyakumari,96,1,96,87,80,5.06,282
777,Pudukkottai,81,6,73,41,59,10.54,358
778,Tiruvarur,85,0,67,42,39,6.2,312
779,Perambalur,94,0,73,52,59,5.1,292
780,Tiruchirappalli,83,9,70,50,85,7.99,339
781,Nilgiris,92,0,73,93,68,5.3,195
782,Nilgiris,77,18,98,71,77,9.13,363
783,Krishnagiri,70,24,97,100,65,9.84,330
784,Ariyalur,82,16,68,44,94,10.23,282
785,Dindigul,79,18,84,49,87,11.49,319
786,Ranipet,84,8,83,54,35,11.44,262
787,Nilgiris,92,0,73,54,40,7.9,213
788,Chengalpattu,72,19,88,87,42,9.31,414
789,Dindigul,81,9,78,94,40,6.88,375
790,Dharmapuri,95,0,83,58,81,7.64,176
791,Ramanathapuram,80,19,84,85,38,7.39,289
792,Tiruppur,96,0,77,98,30,6.94,256
793,Ranipet,90,5,86,99,49,4.51,282
794,Ranipet,77,16,65,84,88,12.29,369
795,Namakkal,77,15,74,96,24,9.07,336
796,Ranipet,79,9,90,70,28,10.18,303
797,Thoothukudi,71,20,79,89,66,9.83,371
798,Madurai,96,1,70,78,61,7.07,262
799,Chengalpattu,84,1,92,74,37,10.36,286
800,Thanjavur,75,22,98,72,78,11.31,410
801,Tiruvarur,77,12,65,70,26,11.14,411
802,Kallakurichi,72,23,89,51,15,13.8,390
803,Tirupathur,70,28,82,97,57,9.53,359
804,Kanniyakumari,82,9,85,83,68,9.49,304
805,Tiruppur,90,0,73,67,99,7.4,234
806,Mayiladuthurai,84,14,74,57,82,8.31,322
807,Tiruppur,70,25,77,42,22,9.9,301
808,Namakkal,94,0,76,93,65,8.59,199
809,Nilgiris,89,5,77,76,28,7.42,273
810,Tiruvallur,71,14,80,76,36,12.84,360
811,Tiruvarur,78,18,97,75,73,7.42,276
812,Karur,85,10,90,59,66,8.44,315
813,Madurai,97,1,82,97,62,6.47,183
814,Viluppuram,81,10,81,67,64,11.78,310
815,Erode,95,0,97,80,94,5.31,249
816,Ranipet,71,28,67,72,99,14.14,365
817,Kanniyakumari,83,3,85,93,71,9.47,313
818,Tiruvannamalai,78,7,86,51,47,9.92,287
819,Ramanathapuram,75,19,65,97,76,11.16,295
820,Madurai,91,0,68,62,68,7.72,287
821,Sivaganga,82,7,86,89,97,9.0,302
822,Kallakurichi,70,22,80,78,91,11.86,404
823,Vellore,91,0,78,45,16,10.12,230
824,Nagapattinam,97,0,78,90,97,7.45,241
825,Tirunelveli,84,10,82,53,83,6.23,362
826,Dharmapuri,82,13,98,57,34,6.93,311
827,Kanniyakumari,88,4,71,98,33,9.43,348
828,Erode,95,0,74,49,51,6.63,150
829,Nagapattinam,80,11,75,93,50,9.75,363
830,Mayiladuthurai,82,15,90,65,38,7.78,387
831,Salem,93,1,66,50,27,6.72,298
832,Erode,76,11,81,52,15,12.22,404
833,Kallakurichi,81,19,66,71,38,10.61,335
834,Sivaganga,79,18,83,88,25,9.78,295
835,Tiruvarur,84,6,72,74,49,9.58,376
836,Thoothukudi,77,22,83,62,98,12.44,279
837,Tiruvannamalai,99,1,85,97,83,7.74,210
838,Viluppuram,87,10,88,72,38,9.8,259
839,Madurai,71,20,92,55,83,9.35,341
840,Tiruvannamalai,70,29,88,79,69,12.27,428
841,Coimbatore,71,19,83,83,63,14.22,429
842,Ramanathapuram,79,10,87,45,44,7.85,367
843,Kallakurichi,92,0,96,91,96,5.57,199
844,Ranipet,98,2,97,78,78,2.81,264
845,Chengalpattu,71,20,84,67,37,12.23,375
846,Chengalpattu,89,0,88,55,40,7.31,215
847,Kanniyakumari,75,10,87,87,51,7.91,308
848,Tiruppur,94,5,93,57,74,7.74,262
849,Nilgiris,79,10,96,66,80,7.0,359
850,Ranipet,93,5,79,73,15,6.93,253
851,Virudhunagar,100,0,67,93,77,7.97,244
852,Theni,95,0,97,62,30,4.57,163
853,Tiruppur,84,5,71,85,70,7.09,313
854,Salem,88,2,81,98,93,7.02,335
855,Cuddalore,74,23,70,68,61,8.2,326
856,Salem,98,0,82,84,15,8.0,284
857,Theni,93,0,67,86,62,8.24,165
858,Ramanathapuram,91,7,73,40,93,10.39,260
859,Dindigul,84,7,85,42,32,9.49,338
860,Kanniyakumari,75,19,77,56,33,12.03,315
861,Karur,79,18,91,92,45,8.31,376
862,Nilgiris,92,0,77,57,47,5.37,306
863,Thanjavur,94,2,83,42,37,9.63,239
864,Tiruchirappalli,72,22,95,76,91,11.05,387
865,Dharmapuri,86,14,81,97,63,8.57,280
866,Chennai,79,18,78,41,85,8.92,348
867,Tiruvallur,75,12,67,83,16,10.73,391
868,Tiruppur,100,0,86,48,18,3.32,242
869,Pudukkottai,73,16,71,68,45,10.5,426
870,Ramanathapuram,82,14,84,98,58,10.32,291
871,Erode,95,3,94,99,54,5.3,179
872,Virudhunagar,78,8,79,67,82,10.82,261
873,Virudhunagar,78,19,73,46,57,9.68,319
874,Kanniyakumari,76,14,78,84,21,11.85,371
875,Namakkal,92,5,74,90,79,8.4,186
876,Coimbatore,96,0,93,83,81,3.49,213
877,Tenkasi,84,6,82,45,96,11.21,217
878,Krishnagiri,70,28,90,55,53,12.48,379
879,Thoothukudi,79,15,88,94,64,12.41,394
880,Viluppuram,83,7,78,83,36,10.57,323
881,Coimbatore,82,9,71,50,63,11.12,352
882,Dharmapuri,93,0,87,98,17,8.7,221
883,Dharmapuri,94,3,67,76,91,8.5,288
884,Erode,82,7,96,68,61,8.53,250
885,Thoothukudi,96,0,84,95,24,5.51,261
886,Namakkal,100,0,78,46,39,7.68,129
887,Karur,94,0,66,96,38,9.73,263
888,Pudukkottai,97,0,80,70,38,5.93,146
889,Tiruppur,93,0,80,58,57,9.42,232
890,Coimbatore,96,1,88,59,81,5.28,267
891,Salem,76,10,65,50,72,12.57,290
892,Mayiladuthurai,84,11,94,75,42,10.07,283
893,Tiruchirappalli,73,25,65,92,17,13.4,438
894,Cuddalore,88,0,75,96,30,7.98,210
895,Tenkasi,91,3,98,42,90,4.23,330
896,Thanjavur,95,0,71,87,23,9.44,309
897,Ramanathapuram,77,17,95,90,88,11.47,319
898,Krishnagiri,87,3,87,83,57,9.38,302
899,Thoothukudi,86,10,92,41,23,5.81,328
900,Tiruppur,70,23,92,70,57,12.34,390
901,Tirupathur,71,20,90,96,20,11.33,299
902,Coimbatore,98,0,94,58,49,6.76,282
903,Tiruvarur,76,20,71,75,60,13.39,403
904,Theni,100,0,82,98,85,5.69,150
905,Tirunelveli,72,28,88,46,60,11.8,367
906,Perambalur,89,11,98,85,69,5.3,250
907,Perambalur,82,16,86,75,49,11.35,351
908,Tirunelveli,71,20,78,96,91,8.5,340
909,Kanniyakumari,84,5,81,58,69,9.4,253
910,Nilgiris,93,1,71,77,90,6.33,239
911,Namakkal,91,6,95,68,48,5.32,308
912,Chengalpattu,84,11,93,58,95,7.01,285
913,Coimbatore,95,3,89,47,21,4.33,298
914,Pudukkottai,85,13,68,49,66,10.99,291
915,Tiruvannamalai,87,0,72,43,68,5.95,254
916,Nagapattinam,99,0,95,70,99,4.94,157
917,Tiruvarur,99,1,89,40,94,4.49,127
918,Kancheepuram,89,5,98,97,19,9.9,302
919,Kancheepuram,72,27,77,43,19,9.55,299
920,Dindigul,97,0,75,68,83,7.86,187
921,Tiruvallur,84,15,91,82,81,9.72,322
922,Theni,88,4,76,47,82,9.82,312
923,Pudukkottai,92,2,90,98,53,5.06,309
924,Namakkal,96,0,65,50,39,5.07,179
925,Cuddalore,99,0,81,86,27,3.69,189
926,Coimbatore,86,11,74,66,83,7.79,325
927,Perambalur,85,0,88,85,53,8.74,335
928,Tenkasi,91,0,86,69,23,7.26,306
929,Dindigul,100,0,68,63,58,5.47,133
930,Ariyalur,72,25,90,86,65,10.56,447
931,Nilgiris,70,17,76,59,67,10.39,411
932,Chennai,97,0,66,87,16,7.08,162
933,Cuddalore,70,17,80,60,24,12.62,444
934,Kallakurichi,86,6,95,87,68,10.81,313
935,Dindigul,71,29,96,81,70,9.92,315
936,Dindigul,72,14,69,89,56,13.02,349
937,Coimbatore,88,5,68,45,69,6.34,212
938,Kallakurichi,98,0,82,51,91,6.25,223
939,Namakkal,75,14,91,73,86,7.46,336
940,Dindigul,82,15,84,96,68,8.4,272
941,Madurai,84,7,79,98,38,10.73,256
942,Namakkal,80,15,84,42,96,11.24,330
943,Erode,81,6,72,58,84,9.9,249
944,Salem,88,2,82,99,43,7.47,345
945,Mayiladuthurai,75,13,90,45,20,9.33,278
946,Sivaganga,85,1,81,87,47,5.92,299
947,Sivaganga,96,0,65,97,69,9.68,159
948,Tenkasi,85,4,78,41,75,6.96,370
949,Dindigul,70,18,85,50,96,13.32,388
950,Tiruvarur,71,23,71,96,97,12.0,414
951,Kallakurichi,80,19,65,77,82,10.14,252
952,Tirupathur,96,1,71,44,47,7.67,303
953,Ariyalur,77,19,93,63,34,10.19,300
954,Coimbatore,89,5,68,48,89,5.27,277
955,Erode,90,1,96,66,85,9.88,207
956,Dharmapuri,81,11,85,97,46,11.06,343
957,Thoothukudi,78,8,88,95,46,12.68,324
958,Chengalpattu,89,5,92,78,48,5.25,338
959,Theni,90,10,75,69,67,8.76,278
960,Ranipet,80,16,90,97,100,11.61,329
961,Namakkal,98,1,94,41,21,2.79,215
962,Tiruvannamalai,85,1,85,93,86,6.9,271
963,Ranipet,70,27,97,51,93,9.72,449
964,Tenkasi,73,20,69,77,45,11.74,343
965,Kanniyakumari,96,0,77,51,73,7.08,261
966,Sivaganga,78,14,95,99,44,9.02,252
967,Tirupathur,78,8,80,63,52,8.04,327
968,Nagapattinam,80,8,95,43,88,9.77,365
969,Namakkal,86,10,73,93,40,6.54,329
970,Kancheepuram,82,11,91,41,17,8.75,244
971,Sivaganga,90,0,88,48,46,5.31,256
972,Chennai,90,0,68,55,84,8.13,242
973,Tirunelveli,94,1,71,69,94,9.38,302
974,Kanniyakumari,74,14,85,62,52,10.2,316
975,Theni,76,12,95,46,39,8.65,403
976,Erode,96,0,77,90,99,5.1,229
977,Tiruppur,98,0,97,74,25,5.34,219
978,Virudhunagar,93,4,70,80,91,8.67,256
979,Thoothukudi,96,1,78,93,38,7.52,225
980,Theni,73,23,81,65,92,8.79,346
981,Dindigul,91,6,78,48,72,8.12,222
982,Theni,75,11,77,40,28,11.37,399
983,Namakkal,80,10,85,43,46,8.19,386
984,Pudukkottai,91,0,85,56,64,7.89,181
985,Tiruvannamalai,84,4,85,56,52,6.13,318
986,Dindigul,81,9,82,61,31,10.57,353
987,Vellore,94,0,80,82,85,5.55,196
988,Dindigul,98,0,72,84,58,4.51,134
989,Salem,99,0,93,55,80,2.84,167
990,Vellore,83,5,65,41,82,7.95,255
991,Tirunelveli,91,0,93,52,54,8.01,252
992,Dharmapuri,76,20,78,100,71,8.23,330
993,Kanniyakumari,78,19,95,73,76,10.71,335
994,Viluppuram,96,0,81,52,89,8.18,255
995,Ramanathapuram,82,9,92,54,60,10.44,313
996,Dharmapuri,75,20,83,74,65,8.5,305
997,Tiruchirappalli,86,11,91,59,77,5.2,357
998,Kallakurichi,86,0,65,81,80,11.49,349
999,Cuddalore,97,0,91,56,89,4.36,249
1000,Ariyalur,92,0,95,67,79,9.06,300
